name,screen_name,time_zone,location,verified,lang,description,description_en,created_at,favourites_count,followers_count,friends_count,statuses_count,listed_count,isBot
Travis Worra,TravWorra1,,"Washington, DC",TRUE,en,Professional Footballer for DC United #1 | Just4Keepers Goalkeeper | Family Above All | All Glory To God,Professional Footballer for DC United #1 | Just4Keepers Goalkeeper | Family Above All | All Glory To God,Sat Aug 03 02:50:47 +0000 2013,4212,1177,170,3008,40,0
Matt Moreno,TheMattMoreno,Central Time (US & Canada),"St Louis, MO",TRUE,en,"Digital Content @FSMidwest, @FSKansasCity & @FSIndiana | @Mizzou alum | @Cronkite_ASU grad student | StL | **Views expressed are my own**","Digital Content @FSMidwest, @FSKansasCity & @FSIndiana | @Mizzou alum | @Cronkite_ASU grad student | StL | **Views expressed are my own**",Wed Feb 17 02:50:16 +0000 2010,1510,750,688,7814,36,0
John McMullen,JFMcMullen,Eastern Time (US & Canada),Philadelphia,TRUE,en,National NFL 🏈columnist @Get_More_Sports #Eagles/ #NFL insider 🎙️📝for @973espn - pundit: @SBNationRadio @FoxSportsRadio  @ESPNRadio tips: jmcmullen44@gmail.com,National NFL 🏈columnist @Get_More_Sports #Eagles/ #NFL insider 🎙️📝for @973espn - pundit: @SBNationRadio @FoxSportsRadio  @ESPNRadio tips: jmcmullen44@gmail.com,Fri Apr 10 19:28:44 +0000 2009,1187,2777,2449,39381,131,0
La Tercera,latercera,Santiago,"Santiago, Chile",TRUE,cy,"El Chile que somos. Noticias, conversación, opinión y otros contenidos destacados.","Chile we are. News, talk, opinion and other featured content.",Mon Apr 02 15:22:14 +0000 2007,37,1858476,236241,689083,6791,0
Shaena Montanari,DrShaena,Eastern Time (US & Canada),"Washington, DC",TRUE,en,Now @AAAS_STPF // paleontologist // formerly @Forbes @NatGeo // #scicomm // #scipolicy // Tar Heel // hilarious opinions and tweets my own,Now @AAAS_STPF // paleontologist // formerly @Forbes @NatGeo // #scicomm // #scipolicy // Tar Heel // hilarious opinions and tweets my own,Sun Dec 09 13:33:39 +0000 2012,6728,10418,1363,20207,259,0
Sean O'Reilly,SeanWFTS,,"Tampa, FL",TRUE,en,News junkie. Gamer. Geek. Sci-Fi nerd. Ice hockey & baseball lover. Owned by a cat. RT not endorsements.,News junkie. Gamer. Geek. Sci-Fi nerd. Ice hockey & baseball lover. Owned by a cat. RT not endorsements.,Wed Apr 09 20:31:30 +0000 2014,29,506,60,6095,48,0
Sarah Megan Thomas,SarahMeganT,Atlantic Time (Canada),NY & LA,TRUE,en,"Actress, Producer. Writer. Sony Classics’ Wall Street thriller, EQUITY. Next up, female driven spy thriller based on Churchill’s “secret army.”","Actress, Producer. Writer. Sony Classics’ Wall Street thriller, EQUITY. Next up, female driven spy thriller based on Churchill’s “secret army.”",Tue Dec 01 20:45:11 +0000 2009,5752,4863,510,2913,77,0
Hayleigh Colombo,hayleighcolombo,Eastern Time (US & Canada),"Indianapolis, IN",TRUE,en,I cover government and education for @IBJnews. Proud @ButlerU grad. Love this city. Send tips to hcolombo@ibj.com.,I cover government and education for @IBJnews. Proud @ButlerU grad. Love this city. Send tips to hcolombo@ibj.com.,Thu May 28 04:56:40 +0000 2009,3854,3053,1978,11202,174,0
Maria Sacchetti,mariasacchetti,Eastern Time (US & Canada),"Washington, DC",TRUE,es,"@WashingtonPost #immigration reporter. Reportera que cubre #migración. Signal, WhatsApp. Up early to row. Maria.sacchetti@washpost.com","@WashingtonPost #immigration reporter. Reportera que cubre #migración. Signal, WhatsApp. Up early to row. Maria.sacchetti@washpost.com",Fri Mar 27 18:01:25 +0000 2009,1117,10303,8251,14416,451,0
RT,RT_com,Volgograd,,TRUE,en,"RT, the global news network, broadcasts from Moscow, London, Paris and Washington studios to over 100 countries.","RT, the global news network, broadcasts from Moscow, London, Paris and Washington studios to over 100 countries.",Tue Aug 11 06:12:45 +0000 2009,857,2701671,626,255202,21456,0
Travelgirl Magazine,TravelgirlMag,Eastern Time (US & Canada),National publication,TRUE,en,Improving your travels and your life! Get a FREE digital issue and subscribe https://t.co/TGZep1zf5T ❤️✈️🌏,Improving your travels and your life! Get a FREE digital issue and subscribe https://t.co/TGZep1zf5T ❤️✈️🌏,Tue Dec 09 17:41:42 +0000 2008,1356,65244,30029,4578,331,0
Raw Story,RawStory,Eastern Time (US & Canada),"Washington, DC",TRUE,en,The official Twitter of http://t.co/HJOFeYodXw,The official Twitter of http://t.co/HJOFeYodXw,Fri Aug 29 12:29:21 +0000 2008,8248,173994,3664,174687,5195,0
Tory Starr,torystarr3,Eastern Time (US & Canada),"Boston, MA",TRUE,en,Director of social media for @WGBH. Proud @pritheworld alum. Please don't ask me why @TayeDiggs just followed you.,Director of social media for @WGBH. Proud @pritheworld alum. Please don't ask me why @TayeDiggs just followed you.,Sun Mar 29 02:37:15 +0000 2009,6864,2988,905,15860,273,0
Phil Stamper 🚀🏳️‍🌈,stampepk,Eastern Time (US & Canada),"Brooklyn, NY",TRUE,en,"YA author of THE GRAVITY OF US, out winter 2020 by @bloomsburykids. Known for ""detective work worthy of Nancy Drew."" -@guardian. Repped by @btaylorbooks.","YA author of THE GRAVITY OF US, out winter 2020 by @bloomsburykids. Known for ""detective work worthy of Nancy Drew."" -@guardian. Repped by @btaylorbooks.",Wed Apr 24 16:37:24 +0000 2013,38412,4776,665,14795,129,0
"Daniel P. Horan, OFM",DanHoranOFM,Central Time (US & Canada),"Chicago, IL",TRUE,en,Franciscan Friar | Catholic priest | Theologian | Author | Runner | Prof. at @ChicagoCTU | Views my own; RT not endorsement | https://t.co/6g7iQRDSQa,Franciscan Friar | Catholic priest | Theologian | Author | Runner | Prof. at @ChicagoCTU | Views my own; RT not endorsement | https://t.co/6g7iQRDSQa,Wed Nov 17 02:54:45 +0000 2010,2946,5779,2435,11249,189,0
Hazem Zureiqat حازم زريقات,hazem,Cairo,"Amman, Jordan",TRUE,en,Transport consultant at Engicon; founder of @Sowt; advisor at @MITArabAlum; member of @Ma3an_Nasel @taqaddam; columnist at @VentureJO; alum of @MIT @Macalester,Transport consultant at Engicon; founder of @Sowt; advisor at @MITArabAlum; member of @Ma3an_Nasel @taqaddam; columnist at @VentureJO; alum of @MIT @Macalester,Tue Jun 16 07:13:04 +0000 2009,513,19057,261,23074,186,0
League of Wis Munis,LeagueWIMunis,Hawaii,Wisconsin,TRUE,en,Moving Wisconsin Forward through Advocacy | Education | Legal Municipalites = Cities & Villages,Moving Wisconsin Forward through Advocacy | Education | Legal Municipalites = Cities & Villages,Mon Dec 17 17:12:18 +0000 2012,13864,3110,1843,52621,321,0
Xtra Mile Recordings,Xtra_Mile,London,London,TRUE,en,Going the Xtra Mile since 2003!,Going the Xtra Mile since 2003!,Wed Jul 29 11:53:07 +0000 2009,9668,11552,733,18375,148,0
Univision Noticias,UniNoticias,Eastern Time (US & Canada),Estados Unidos,TRUE,es,"Noticias de la comunidad hispana y el acontecer mundial, al instante.","News of the Hispanic community and world events, instantly.",Mon Apr 27 16:29:42 +0000 2009,5326,1756907,1788,193886,7221,0
Simone Swink,sswinkgma,Eastern Time (US & Canada),"NY, NY",TRUE,en,"Executive Broadcast Producer, 2nd hour at @GMA, @abc.","Executive Broadcast Producer, 2nd hour at @GMA, @abc.",Mon Mar 14 21:30:10 +0000 2011,13270,12701,1969,39162,225,0
Moms Demand Action,MomsDemand,Eastern Time (US & Canada),USA,TRUE,en,Join our grassroots movement of Americans demanding reasonable solutions to address our nation’s culture of gun violence. @MomsDemand is a part of @Everytown.,Join our grassroots movement of Americans demanding reasonable solutions to address our nation’s culture of gun violence. @MomsDemand is a part of @Everytown.,Mon Dec 17 14:52:28 +0000 2012,16361,177593,9539,30267,1560,0
Keith Monday,kmondayWSOC9,Pacific Time (US & Canada),,TRUE,en,"Morning Meteorologist for WSOC/WAXN TV in Charlotte NC. @Mizzou grad, STL native. Big @Cardinals fan","Morning Meteorologist for WSOC/WAXN TV in Charlotte NC. @Mizzou grad, STL native. Big @Cardinals fan",Tue May 27 15:14:53 +0000 2014,1272,2848,270,5524,68,0
(((Rory Lancman))),RoryLancman,Eastern Time (US & Canada),New York,TRUE,en,"NYC Councilman (Chair, Committee on the Justice System); NYS Dem Party Vice-Chair; former NYS Assemblyman (Chair, Subcommittee on Workplace Safety)","NYC Councilman (Chair, Committee on the Justice System); NYS Dem Party Vice-Chair; former NYS Assemblyman (Chair, Subcommittee on Workplace Safety)",Sun Mar 29 19:38:40 +0000 2009,37,6355,125,15827,219,0
Amanda Wills,AmandaWills,Eastern Time (US & Canada),New York City,TRUE,en,Director of Breaking News @CNN Digital. Live in NYC. From Tennessee. Love Dolly.,Director of Breaking News @CNN Digital. Live in NYC. From Tennessee. Love Dolly.,Fri Apr 04 17:33:53 +0000 2008,1435,18587,998,22003,629,0
FOX6 WakeUp,fox6wakeup,Central Time (US & Canada),"Milwaukee, WI",TRUE,en,Milwaukee's #1 local news from 4:30 a.m. until 9 a.m. weekdays,Milwaukee's #1 local news from 4:30 a.m. until 9 a.m. weekdays,Wed Mar 25 14:02:05 +0000 2009,49,15364,1813,59908,333,0
Major Garrett,MajorCBS,Quito,"Washington, DC",TRUE,en,"Chief WH Correspondent CBS News host of @TakeoutPodcast author ""The Enduring Revolution"" San Diego native @Mizzou grad @Padres @MUTigers Instagram @majorcbs","Chief WH Correspondent CBS News host of @TakeoutPodcast author ""The Enduring Revolution"" San Diego native @Mizzou grad @Padres @MUTigers Instagram @majorcbs",Wed Jun 10 17:50:33 +0000 2009,1750,187638,2803,25942,5812,0
Bruno J. Navarro,Bruno_J_Navarro,Eastern Time (US & Canada),New York,TRUE,en,"Deputy Editor, @RANEnetwork + Dot Connector + Design Buff + Brooklyn Dad | RT ≠ endorsement | alum @CNBC, @WWD, @TODAYshow, @NBCNews, @AP, etc.","Deputy Editor, @RANEnetwork + Dot Connector + Design Buff + Brooklyn Dad | RT ≠ endorsement | alum @CNBC, @WWD, @TODAYshow, @NBCNews, @AP, etc.",Thu Jun 03 20:16:06 +0000 2010,20501,3673,4098,79237,401,0
Mike Hart,MikeHart23ABC,,"Bakersfield, CA",TRUE,en,News Anchor/Reporter/Announcer/Host/MC/Lead Singer/Father/Booster Club/etc/etc/etc,News Anchor/Reporter/Announcer/Host/MC/Lead Singer/Father/Booster Club/etc/etc/etc,Fri Mar 02 16:50:33 +0000 2012,3304,1569,482,3633,24,0
Brittany Packnett,MsPackyetti,Eastern Time (US & Canada),brittany@brittanypacknett.com,TRUE,en,activist|educator|writer for freedom | pursing justice with love + power | pushing myself + the status quo | living in joy is a pure form of resistance.,activist|educator|writer for freedom | pursing justice with love + power | pushing myself + the status quo | living in joy is a pure form of resistance.,Mon Jan 17 19:58:52 +0000 2011,35893,138880,3050,76578,1843,0
Melissa Correa,MCorreaKHOU,Pacific Time (US & Canada),"Houston, TX",TRUE,en,MSJ Reporter for KHOU11 🎤🎥. UH alum! 🐾 RGV Native💃🏽Instagram: KHOU_Melissa 📸Facebook: KHOU Melissa Correa🤳🏽,Reporter for KHOU11 🎤🎥 MSJ. UH alum! RGV 🐾 Native💃🏽Instagram: KHOU_Melissa 📸Facebook: Melissa difficulty Correa🤳🏽,Thu Dec 10 16:48:22 +0000 2015,3657,2882,296,10359,83,0
American Bar Association,ABAesq,Central Time (US & Canada),"Chicago, IL",TRUE,en,"The American Bar Association provides resources to assist lawyers and judges, accredits law schools, and works to improve the legal system for the public.","The American Bar Association provides resources to assist lawyers and judges, accredits law schools, and works to improve the legal system for the public.",Tue Sep 08 19:12:47 +0000 2009,11724,83941,4871,25590,1647,0
Ben Spielberg,BenSpielberg,Eastern Time (US & Canada),"Washington, DC",TRUE,en,"Co-founder, 34justice. Campaign Manager, @Marc_Elrich. @CenterOnBudget, @SanJoseTeachers, @TeachForAmerica, @Stanford alum. Views my own. 🌹","Co-founder, 34justice. Campaign Manager, @Marc_Elrich. @CenterOnBudget, @SanJoseTeachers, @TeachForAmerica, @Stanford alum. Views my own. 🌹",Tue Sep 10 04:41:10 +0000 2013,33344,10125,1975,55414,294,0
MarlaTellez,MarlaTellez,Pacific Time (US & Canada),"Los Angeles, CA",TRUE,en,Fox 11 Anchor - Find me on Instagram https://t.co/mg8XDiTMUz + Facebook https://t.co/WfKaThtkLq,Fox 11 Anchor - Find me on Instagram https://t.co/mg8XDiTMUz + Facebook https://t.co/WfKaThtkLq,Mon Apr 19 21:58:34 +0000 2010,14387,15238,3993,15159,221,0
Liberal Enfurruñada,MuyLiberal,Madrid,,TRUE,es,"Por la libertad, así como por la honra, se puede y debe aventurar la vida. @okdiario https://t.co/NZG0USotEc
Frases Liberales: https://t.co/erTLmOrAKi","For freedom and for honor, one can and should risk one's life. @okdiario https://t.co/NZG0USotEc
Liberal phrases: https://t.co/erTLmOrAKi",Tue Oct 02 16:49:52 +0000 2012,82616,27241,3167,178667,236,0
Lindsey Mills,LindseyMills7,Eastern Time (US & Canada),"Portland, ME",TRUE,en,"Anchor/Reporter @NEWSCENTERmaine | From Arlington, MA | Proud @EndicottFH🏑 & @EndicottWIH 🏒 alum | Wife to @ClayGordonNews | Coach @MaineStyxFH 💚🖤","Anchor/Reporter @NEWSCENTERmaine | From Arlington, MA | Proud @EndicottFH🏑 & @EndicottWIH 🏒 alum | Wife to @ClayGordonNews | Coach @MaineStyxFH 💚🖤",Tue Jan 03 16:15:23 +0000 2012,6191,2496,1343,12125,94,0
98 PXY,98PXYRochester,Eastern Time (US & Canada),"Rochester, NY",TRUE,en,"The #1 Hit Music Station! Tweet up #TeamPXY, #ROC : @CoreyRadio @WhitneyYoung @Debbins98PXY @ChrisKonya98","The #1 Hit Music Station! Tweet up #TeamPXY, #ROC : @CoreyRadio @WhitneyYoung @Debbins98PXY @ChrisKonya98",Tue May 26 21:07:05 +0000 2009,3619,37203,2047,32267,218,0
Sara Weber,sara__weber,Bern,Munich,TRUE,en,Journalist. Senior News Editor @LinkedIn. Human podcast recommendation machine @saralistens. I come in peace but I mean business. DE/US.,Journalist. Senior News Editor @LinkedIn. Human podcast recommendation machine @saralistens. I come in peace but I mean business. DE/US.,Fri Dec 09 08:56:11 +0000 2011,18202,2743,1157,10301,173,0
Melissa Francis,MelissaAFrancis,Eastern Time (US & Canada),"New York City, baby!",TRUE,en,"News anchor, mom & wife, slurpee drinker, best selling author.  Not a member of any party; I consider every issue on a case by case basis.","News anchor, mom & wife, slurpee drinker, best selling author.  Not a member of any party; I consider every issue on a case by case basis.",Tue Apr 07 18:59:51 +0000 2009,12557,192969,1260,16362,1073,0
Bibliotecas Ayuntamiento de Madrid,bpmmadrid,Europe/Madrid,Madrid,TRUE,es,Te damos la bienvenida a la cuenta oficial de las Bibliotecas Públicas del Ayuntamiento de Madrid.,Welcome to the official account of the Public Libraries of the City of Madrid.,Fri Mar 07 16:36:17 +0000 2014,5388,6639,640,9399,272,0
Matthew Spector,mspec,Eastern Time (US & Canada),"New York, NY",TRUE,und,"Ideas, policy & media. Harvard @Kennedy_School. Managing editor @HarvardKSR.","Ideas, policy & media. Harvard @Kennedy_School. Managing editor @HarvardKSR.",Thu Dec 25 14:20:19 +0000 2008,9482,1357,2823,7452,63,0
#DreamActNow,votolatino,Eastern Time (US & Canada),IG: VotoLatino,TRUE,en,Voto Latino is a pioneering civic media organization that seeks to transform America by recognizing Latinos’ innate leadership.,Voto Latino is a pioneering civic media organization that seeks to transform America by recognizing Latinos’ innate leadership.,Mon Oct 22 02:04:15 +0000 2007,19392,78512,3109,43743,1347,0
KOAA News 5,KOAA,Mountain Time (US & Canada),"Colorado Springs/Pueblo, CO",TRUE,en,"Local news, weather, and traffic for Colorado Springs, Pueblo, and all of southern Colorado.","Local news, weather, and traffic for Colorado Springs, Pueblo, and all of southern Colorado.",Tue Feb 03 01:01:23 +0000 2009,3764,76200,263,81370,966,0
Pilar Pedraza TV,PilarPedrazaTV,Eastern Time (US & Canada),"Wichita, Kansas",TRUE,en,I'm a veteran Political & Education reporter who also loves covering breaking news. I'm currently hosting #KansasWeek on @KPTS.  #ksleg #kswx #ksed,I'm a veteran Political & Education reporter who also loves covering breaking news. I'm currently hosting #KansasWeek on @KPTS.  #ksleg #kswx #ksed,Fri Jul 20 14:28:42 +0000 2012,7468,4237,1854,28914,115,0
Jorge_Silva,Jorge_Silva,Eastern Time (US & Canada),"Washington, DC",TRUE,en,"VP of Communications at @LatinoVictoryus | Former National Director of Hispanic media for @HillaryClinton, Sr. Advisor to @SenatorReid | Proud Mexican-American","VP of Communications at @LatinoVictoryus | Former National Director of Hispanic media for @HillaryClinton, Sr. Advisor to @SenatorReid | Proud Mexican-American",Mon Aug 04 20:52:25 +0000 2008,37213,5688,1574,42946,165,0
A.J. Perez,byajperez,Eastern Time (US & Canada),Washington DC,TRUE,en,"USA TODAY Sports reporter, certified personal trainer and reluctant runner. For sports news tips: ajperez@usatoday.com","USA TODAY Sports reporter, certified personal trainer and reluctant runner. For sports news tips: ajperez@usatoday.com",Thu Feb 12 05:44:58 +0000 2009,7914,8247,3486,36632,145,0
Ohio Politics,Ohio_Politics,Eastern Time (US & Canada),Ohio,TRUE,en,Your source for news from the heated world of Ohio politics by reporters on the Dayton Daily News' and WHIO TV and Radio political team.,Your source for news from the heated world of Ohio politics by reporters on the Dayton Daily News' and WHIO TV and Radio political team.,Thu Sep 11 15:47:00 +0000 2008,126,12764,1500,47092,497,0
KDKA Radio Morning News,kdkaradioamnews,Quito,"Pittsburgh, PA",TRUE,en,The KDKA Radio Morning News w/ @KDKALarry & @KDKAShumway weekdays 5-9AM EST. #BurghVerified Listen live at https://t.co/h0drYgg446,The KDKA Radio Morning News w/ @KDKALarry & @KDKAShumway weekdays 5-9AM EST. #BurghVerified Listen live at https://t.co/h0drYgg446,Mon Aug 20 09:57:45 +0000 2007,915,10925,4756,12644,195,0
Sasha Lenninger,SashaKOAT,Mountain Time (US & Canada),"Albuquerque, NM",TRUE,en,"Reporter for KOAT Action 7 News in Albuquerque, NM. Have a story? Email me! slenninger@hearst.com Links & RTs aren't endorsements. Opinions are my own.","Reporter for KOAT Action 7 News in Albuquerque, NM. Have a story? Email me! slenninger@hearst.com Links & RTs aren't endorsements. Opinions are my own.",Wed Jul 29 05:39:19 +0000 2015,399,1641,1002,4263,56,0
Jeff Hauser,jeffhauser,Eastern Time (US & Canada),"Washington, DC",TRUE,en,"My views alone on politics, TV, & sports. Try not to tweet fatherly kvelling. Run the Revolving Door Project housed at @CEPRDC","My views alone on politics, TV, & sports. Try not to tweet fatherly kvelling. Run the Revolving Door Project housed at @CEPRDC",Mon Feb 23 23:03:05 +0000 2009,2183,4942,2340,51409,152,0
Harold Pollack,haroldpollack,Central Time (US & Canada),,TRUE,en,"University of Chicago professor, fellow Century Foundation. RTs not equal endorsement. Index card book at:
http://t.co/mK4r6C7UwR http://t.co/EF8lQfRDfZ","University of Chicago professor, fellow Century Foundation. RTs not equal endorsement. Index card book at:
http://t.co/mK4r6C7UwR http://t.co/EF8lQfRDfZ",Fri Dec 25 14:45:28 +0000 2009,6864,20313,2386,63406,651,0
AARP New York,AARPNY,Eastern Time (US & Canada),New York,TRUE,en,"Nonprofit, nonpartisan org. working for NYers 50+ #SecureChoice #DisruptDisparities. Follow our State Director @BethNY https://t.co/yKwJFufczT","Nonprofit, nonpartisan org. working for NYers 50+ #SecureChoice #DisruptDisparities. Follow our State Director @BethNY https://t.co/yKwJFufczT",Wed May 13 18:28:49 +0000 2009,10708,7558,4801,31728,234,0
WFAA,wfaa,Central Time (US & Canada),"Dallas, TX",TRUE,en,For nearly 75 years WFAA has been serving the community of North Texas. Our service is storytelling and any story worth telling takes courage to tell it right.,For nearly 75 years WFAA has been serving the community of North Texas. Our service is storytelling and any story worth telling takes courage to tell it right.,Fri Aug 01 20:46:33 +0000 2008,10893,555905,4043,174544,3225,0
Niraj Warikoo,nwarikoo,Eastern Time (US & Canada),"Detroit, Michigan",TRUE,en,"Staff Writer for daily newspaper: Detroit Free Press @Freep. Reports on religion, poverty, immigration. Tips, ideas: DM, nwarikoo@freepress.com, 313-223-4792","Staff Writer for daily newspaper: Detroit Free Press @Freep. Reports on religion, poverty, immigration. Tips, ideas: DM, nwarikoo@freepress.com, 313-223-4792",Mon Jan 18 07:10:04 +0000 2010,77843,15950,4914,79442,575,0
CameliaEntekhabifard,CameliaFard,Quito,New York I Dubai,TRUE,en,"Author of ""Save yourself by telling the truth"". Political commentator. Diplomatic correspondent at @UN #Iran كامليا انتخابى فرد، نويسنده و روزنامه نگار","Author of ""Save yourself by telling the truth"". Political commentator. Diplomatic correspondent at @UN #Iran K. choice, writer and journalist",Sun May 02 22:21:48 +0000 2010,24674,21896,1129,67958,327,0
KOB 4,KOB4,Mountain Time (US & Canada),"Albuquerque, NM",TRUE,en,"KOB 4 Eyewitness News, Albuquerque-Santa Fe, New Mexico - Use of #KOB4 or @KOB4 tags grants KOB the right to copy and/or distribute your content on TV or online","KOB 4 Eyewitness News, Albuquerque-Santa Fe, New Mexico - Use of #KOB4 or @KOB4 tags grants KOB the right to copy and/or distribute your content on TV or online",Thu Nov 06 21:52:58 +0000 2008,617,91996,536,87574,881,0
El HuffPost,ElHuffPost,Madrid,"Madrid, Spain",TRUE,es,"▶Facebook https://t.co/jykEKc6lz9            

▶Telegram  https://t.co/FXGilLu28b

▶Android https://t.co/5Rh1REb8e0

▶iOS  https://t.co/SdOb9Ky4cy","▶Facebook https://t.co/jykEKc6lz9            

▶Telegram  https://t.co/FXGilLu28b

▶Android https://t.co/5Rh1REb8e0

▶iOS  https://t.co/SdOb9Ky4cy",Mon Aug 29 22:39:03 +0000 2011,801,435155,1443,271824,8182,0
domingo ramirez jr.,mingoramirezjr,,Fort Worth,TRUE,en,"Old FW Star-Telegram crime reporter. Addicted to movies, Motown and Halloween.","Old FW Star-Telegram crime reporter. Addicted to movies, Motown and Halloween.",Sat Dec 03 20:09:47 +0000 2011,332,2090,451,46066,131,0
Margaux Farrell,marge_farrell,Pacific Time (US & Canada),"Connecticut, USA",TRUE,en,"Olympic Medalist French Swimmer • Half IU Hoosier, Half USC Trojan • Reporter/Anchor @FOX61news • Cockapoo Mom •","Olympic Medalist French Swimmer • Half IU Hoosier, Half USC Trojan • Reporter/Anchor @FOX61news • Cockapoo Mom •",Wed Jun 29 03:09:33 +0000 2011,16074,2482,1097,10407,74,0
Don Bell,DonBellonCBS3,Eastern Time (US & Canada),,TRUE,en,CBS 3 Philly Sports Director. Adrenaline junky. Owner of Valyrian Steel. Master of own ceremony. Man with a plan. Instagram at DonBellPhotography,CBS 3 Philly Sports Director. Adrenaline junky. Owner of Valyrian Steel. Master of own ceremony. Man with a plan. Instagram at DonBellPhotography,Tue Apr 07 03:21:28 +0000 2009,7183,4506,1319,8213,111,0
RitaRubin,RitaRubin,Quito,"Washington, D.C.",TRUE,en,"Senior writer, Medical News & Perspectives, @JAMA_current. Mom of 2 daughters, short story author, Medill & Hopkins alum, proud WV native. Retweets≠endorsements","Senior writer, Medical News & Perspectives, @JAMA_current. Mom of 2 daughters, short story author, Medill & Hopkins alum, proud WV native. Retweets≠endorsements",Mon Nov 17 20:09:07 +0000 2008,2080,14633,288,9626,732,0
Bob Ivry,bobivry,,,TRUE,en,"Bloomberg News zombie. Author, Seven Sins of Wall Street. Retweets are not endorsements.","Bloomberg News zombie. Author, Seven Sins of Wall Street. Retweets are not endorsements.",Tue Jun 08 17:17:46 +0000 2010,2315,4910,3538,13184,304,0
Brandon Cloud,theclobra,Pacific Time (US & Canada),"Dallas, TX",TRUE,fr,"I'm an RN and epitome of a good old fashioned southern boy. Meaning that I'm gay, an atheist and a liberal democrat. Hash Taggot. Writer. @HuffPost Blogger.","I'm an RN and epitome of a good old fashioned southern boy. Meaning that I'm gay, an atheist and a liberal democrat. Hash Taggot. Writer. @HuffPost Blogger.",Sun Mar 30 10:27:00 +0000 2014,304474,30373,15903,303807,578,0
Cynthia Kroet,cynthiakroet,Amsterdam,"Brussels, Belgium",TRUE,en,"Tech, Telecom | NL and EU politics","Tech, Telecom | NL and EU politics",Sun Sep 09 17:19:04 +0000 2012,161,1516,873,2479,92,0
i-D,i_D,London,London,TRUE,en,The original fashion and style bible.,The original fashion and style bible.,Fri Feb 06 09:43:22 +0000 2009,1677,1629216,513,80923,9397,0
EL PAÍS,el_pais,Madrid,Madrid,TRUE,es,"Las noticias más relevantes y la última hora, por los periodistas de EL PAÍS. Para informarse y conversar. Únete al sistema de alertas mediante mensaje directo",The most relevant news and last minute for journalists COUNTRY. For information and conversation. Join the system alerts via direct message,Mon Aug 06 16:20:09 +0000 2007,1424,6655344,805,405894,55523,0
FOX59 News,FOX59,Eastern Time (US & Canada),"Indianapolis, IN",TRUE,en,"Serving central Indiana with breaking news, sports, weather, community information & more","Serving central Indiana with breaking news, sports, weather, community information & more",Wed Sep 24 20:35:15 +0000 2008,4112,249516,6410,211897,1654,0
Ben Cubby,bencubby,,,TRUE,en,"Editor of The Sydney Morning Herald's Monday-to-Friday print edition. Email bcubby@smh.com.au. Descendant of artists, teachers, soldiers and detectives.","Editor of The Sydney Morning Herald's Monday-to-Friday print edition. Email bcubby@smh.com.au. Descendant of artists, teachers, soldiers and detectives.",Tue Feb 22 00:19:03 +0000 2011,29109,26642,2067,145147,881,0
Almudena Ariza,almuariza,Beijing,Nueva York,TRUE,es,Reportera de TVE y Corresponsal en Nueva York. Sigo haciendo lo que más me gusta: viajar y contar. Aquí hablo solo en mi nombre.,TVE reporter and correspondent in New York. I'm doing what I like: traveling and counting. Here I speak only on my behalf.,Sun Feb 06 07:40:52 +0000 2011,551,89238,883,9479,2018,0
HLN Weekend Express,WeekendExp,Pacific Time (US & Canada),,TRUE,en,Express. Essential. Upbeat. Tweets from the producers and writers working on ‘Weekend Express with @LynnSmithTV’  Tune in this weekend 7a to 12p ET!,Express. Essential. Upbeat. Tweets from the producers and writers working on ‘Weekend Express with @LynnSmithTV’  Tune in this weekend 7a to 12p ET!,Thu Sep 06 17:22:55 +0000 2012,336,13654,204,9347,118,0
Courtney Gilmore,CourtneyNBC5,Hawaii,"Dallas, TX",TRUE,en,"Emmy Nominated Journalist For NBC5 Dallas, TX #BigFaith #NaturalHairOnAir #iTravel 19 countries & counting #EatClean Ephesians 2:10 RTs not endorsements","Emmy Nominated Journalist For NBC5 Dallas, TX #BigFaith #NaturalHairOnAir #iTravel 19 countries & counting #EatClean Ephesians 2:10 RTs not endorsements",Tue Apr 14 22:41:37 +0000 2009,4939,10863,2107,19918,205,0
Amanda Quraishi,ImTheQ,America/Chicago,"Austin, TX",TRUE,en,"""Either you repeat the same conventional doctrines everybody is saying, or else you say something true and it will sound like it's from Neptune."" - Noam Chomsky","""Either you repeat the same conventional doctrines everybody is saying, or else you say something true and it will sound like it's from Neptune."" - Noam Chomsky",Tue Apr 29 17:01:15 +0000 2008,15570,19809,2414,49464,729,0
Ben de Pear,bendepear,,,TRUE,en,Editor of Channel 4 News. https://t.co/EHZEWAmnDc,Editor of Channel 4 News. https://t.co/EHZEWAmnDc,Sun Jun 21 23:08:28 +0000 2009,448,22030,1964,14893,481,0
Scott Dance,ssdance,Eastern Time (US & Canada),Baltimore,TRUE,en,"I write about the environment, science and weather for @baltimoresun.","I write about the environment, science and weather for @baltimoresun.",Mon Sep 29 20:12:23 +0000 2008,1922,5432,991,11718,243,0
Ione Molinares,imolinarescnn,Eastern Time (US & Canada),Washington,TRUE,es,Corresponsal de CNN en Español en,CNN correspondent in Spanish in,Tue Aug 31 19:47:50 +0000 2010,30,48736,431,5893,336,0
